"197.157.248.0","197.157.251.255","3315464192","3315465215","CD","Congo, The Democratic Republic of the"
"197.157.252.0","197.157.255.255","3315465216","3315466239","CG","Congo"
"197.158.0.0","197.158.63.255","3315466240","3315482623","MZ","Mozambique"
"197.158.64.0","197.158.127.255","3315482624","3315499007","MG","Madagascar"
"197.158.128.0","197.158.191.255","3315499008","3315515391","ZM","Zambia"
"197.158.192.0","197.158.255.255","3315515392","3315531775","SC","Seychelles"
"197.159.0.0","197.159.31.255","3315531776","3315539967","CM","Cameroon"
"197.159.32.0","197.159.63.255","3315539968","3315548159","ZA","South Africa"
"197.159.64.0","197.159.79.255","3315548160","3315552255","NG","Nigeria"
"197.159.80.0","197.159.87.255","3315552256","3315554303","GW","Guinea-Bissau"
"197.159.88.0","197.159.95.255","3315554304","3315556351","ZA","South Africa"
"197.159.96.0","197.159.111.255","3315556352","3315560447","KE","Kenya"
"197.159.112.0","197.159.127.255","3315560448","3315564543","TZ","Tanzania, United Republic of"
"197.159.128.0","197.159.143.255","3315564544","3315568639","GH","Ghana"
"197.159.144.0","197.159.159.255","3315568640","3315572735","MG","Madagascar"
"197.159.160.0","197.159.191.255","3315572736","3315580927","ST","Sao Tome and Principe"
"197.159.192.0","197.159.223.255","3315580928","3315589119","CI","Cote D'Ivoire"
"197.159.224.0","197.159.255.255","3315589120","3315597311","CM","Cameroon"
"197.160.0.0","197.167.255.255","3315597312","3316121599","EG","Egypt"
"197.168.0.0","197.175.255.255","3316121600","3316645887","ZA","South Africa"
"197.176.0.0","197.183.255.255","3316645888","3317170175","KE","Kenya"
"197.184.0.0","197.185.255.255","3317170176","3317301247","ZA","South Africa"
"197.186.0.0","197.187.255.255","3317301248","3317432319","TZ","Tanzania, United Republic of"
"197.188.0.0","197.188.255.255","3317432320","3317497855","NA","Namibia"
"197.189.0.0","197.189.127.255","3317497856","3317530623","CD","Congo, The Democratic Republic of the"
"197.189.128.0","197.189.191.255","3317530624","3317547007","LS","Lesotho"
"197.189.192.0","197.189.255.255","3317547008","3317563391","ZA","South Africa"
"197.190.0.0","197.191.255.255","3317563392","3317694463","GH","Ghana"
"197.192.0.0","197.199.255.255","3317694464","3318218751","EG","Egypt"
"197.200.0.0","197.207.255.255","3318218752","3318743039","DZ","Algeria"
"197.208.0.0","197.209.255.255","3318743040","3318874111","SD","Sudan"
"197.210.0.0","197.210.255.255","3318874112","3318939647","NG","Nigeria"
"197.211.0.0","197.211.31.255","3318939648","3318947839","KE","Kenya"
"197.211.32.0","197.211.63.255","3318947840","3318956031","NG","Nigeria"
"197.211.64.0","197.211.95.255","3318956032","3318964223","ZA","South Africa"
"197.211.96.0","197.211.127.255","3318964224","3318972415","MW","Malawi"
"197.211.128.0","197.211.191.255","3318972416","3318988799","ZA","South Africa"
"197.211.192.0","197.211.255.255","3318988800","3319005183","ZW","Zimbabwe"
"197.212.0.0","197.213.255.255","3319005184","3319136255","ZM","Zambia"
"197.214.0.0","197.214.63.255","3319136256","3319152639","NE","Niger"
"197.214.64.0","197.214.71.255","3319152640","3319154687","GQ","Equatorial Guinea"
"197.214.72.0","197.214.79.255","3319154688","3319156735","GN","Guinea"
"197.214.80.0","197.214.95.255","3319156736","3319160831","GW","Guinea-Bissau"
"197.214.96.0","197.214.111.255","3319160832","3319164927","NG","Nigeria"
"197.214.112.0","197.214.119.255","3319164928","3319166975","ZA","South Africa"
"197.214.120.0","197.214.127.255","3319166976","3319169023","ZW","Zimbabwe"
"197.214.128.0","197.214.255.255","3319169024","3319201791","CG","Congo"
"197.215.0.0","197.215.127.255","3319201792","3319234559","SL","Sierra Leone"
"197.215.128.0","197.215.159.255","3319234560","3319242751","LY","Libya"
"197.215.160.0","197.215.191.255","3319242752","3319250943","ZA","South Africa"
"197.215.192.0","197.215.207.255","3319250944","3319255039","MG","Madagascar"
"197.215.208.0","197.215.215.255","3319255040","3319257087","ZA","South Africa"
"197.215.216.0","197.215.219.255","3319257088","3319258111","LR","Liberia"
"197.215.220.0","197.215.223.255","3319258112","3319259135","CD","Congo, The Democratic Republic of the"
"197.215.224.0","197.215.239.255","3319259136","3319263231","ZA","South Africa"
"197.215.240.0","197.215.255.255","3319263232","3319267327","TZ","Tanzania, United Republic of"
"197.216.0.0","197.217.255.255","3319267328","3319398399","AO","Angola"
"197.218.0.0","197.219.255.255","3319398400","3319529471","MZ","Mozambique"
"197.220.0.0","197.220.31.255","3319529472","3319537663","ZM","Zambia"
"197.220.32.0","197.220.63.255","3319537664","3319545855","MW","Malawi"
"197.220.64.0","197.220.95.255","3319545856","3319554047","SO","Somalia"
"197.220.96.0","197.220.127.255","3319554048","3319562239","KE","Kenya"
"197.220.128.0","197.220.159.255","3319562240","3319570431","LS","Lesotho"
"197.220.160.0","197.220.191.255","3319570432","3319578623","GH","Ghana"
"197.220.192.0","197.220.255.255","3319578624","3319595007","ZM","Zambia"
"197.221.0.0","197.221.63.255","3319595008","3319611391","ZA","South Africa"
"197.221.64.0","197.221.95.255","3319611392","3319619583","GH","Ghana"
"197.221.96.0","197.221.127.255","3319619584","3319627775","ZA","South Africa"
"197.221.128.0","197.221.159.255","3319627776","3319635967","UG","Uganda"
"197.221.160.0","197.221.191.255","3319635968","3319644159","ZA","South Africa"
"197.221.192.0","197.221.223.255","3319644160","3319652351","TZ","Tanzania, United Republic of"
"197.221.224.0","197.221.255.255","3319652352","3319660543","ZW","Zimbabwe"
"197.222.0.0","197.223.255.255","3319660544","3319791615","EG","Egypt"
"197.224.0.0","197.227.255.255","3319791616","3320053759","MU","Mauritius"
"197.228.0.0","197.229.255.255","3320053760","3320184831","ZA","South Africa"
"197.230.0.0","197.230.255.255","3320184832","3320250367","MA","Morocco"
"197.231.0.0","197.231.31.255","3320250368","3320258559","MR","Mauritania"
"197.231.32.0","197.231.63.255","3320258560","3320266751","LS","Lesotho"
"197.231.64.0","197.231.127.255","3320266752","3320283135","GA","Gabon"
"197.231.128.0","197.231.135.255","3320283136","3320285183","GM","Gambia"
"197.231.136.0","197.231.143.255","3320285184","3320287231","GA","Gabon"
"197.231.144.0","197.231.151.255","3320287232","3320289279","ZA","South Africa"
"197.231.152.0","197.231.159.255","3320289280","3320291327","LR","Liberia"
"197.231.160.0","197.231.175.255","3320291328","3320295423","ZA","South Africa"
"197.231.176.0","197.231.183.255","3320295424","3320297471","KE","Kenya"
"197.231.184.0","197.231.191.255","3320297472","3320299519","MU","Mauritius"
"197.231.192.0","197.231.195.255","3320299520","3320300543","BW","Botswana"
"197.231.196.0","197.231.199.255","3320300544","3320301567","ZA","South Africa"
"197.231.200.0","197.231.203.255","3320301568","3320302591","SO","Somalia"
"197.231.204.0","197.231.207.255","3320302592","3320303615","GM","Gambia"
"197.231.208.0","197.231.211.255","3320303616","3320304639","SC","Seychelles"
"197.231.212.0","197.231.215.255","3320304640","3320305663","ZW","Zimbabwe"
"197.231.216.0","197.231.219.255","3320305664","3320306687","MZ","Mozambique"
"197.231.220.0","197.231.223.255","3320306688","3320307711","LR","Liberia"
"197.231.224.0","197.231.227.255","3320307712","3320308735","CV","Cape Verde"
"197.231.228.0","197.231.231.255","3320308736","3320309759","LY","Libya"
"197.231.232.0","197.231.235.255","3320309760","3320310783","ZA","South Africa"
"197.231.236.0","197.231.239.255","3320310784","3320311807","SS","South Sudan"
"197.231.240.0","197.231.243.255","3320311808","3320312831","BJ","Benin"
"197.231.244.0","197.231.247.255","3320312832","3320313855","ZM","Zambia"
"197.231.248.0","197.231.251.255","3320313856","3320314879","BI","Burundi"
"197.231.252.0","197.231.255.255","3320314880","3320315903","CD","Congo, The Democratic Republic of the"
"197.232.0.0","197.232.255.255","3320315904","3320381439","KE","Kenya"
"197.233.0.0","197.233.255.255","3320381440","3320446975","NA","Namibia"
"197.234.0.0","197.234.15.255","3320446976","3320451071","SC","Seychelles"
"197.234.16.0","197.234.31.255","3320451072","3320455167","ZA","South Africa"
"197.234.32.0","197.234.63.255","3320455168","3320463359","NG","Nigeria"
"197.234.64.0","197.234.127.255","3320463360","3320479743","NA","Namibia"
"197.234.128.0","197.234.207.255","3320479744","3320500223","ZA","South Africa"
"197.234.208.0","197.234.215.255","3320500224","3320502271","BW","Botswana"
"197.234.216.0","197.234.223.255","3320502272","3320504319","BJ","Benin"
"197.234.224.0","197.234.227.255","3320504320","3320505343","TZ","Tanzania, United Republic of"
"197.234.228.0","197.234.231.255","3320505344","3320506367","NG","Nigeria"
"197.234.232.0","197.234.235.255","3320506368","3320507391","ZA","South Africa"
"197.234.236.0","197.234.239.255","3320507392","3320508415","KE","Kenya"
"197.234.240.0","197.234.243.255","3320508416","3320509439","ZA","South Africa"
"197.234.244.0","197.234.247.255","3320509440","3320510463","RW","Rwanda"
"197.234.248.0","197.234.251.255","3320510464","3320511487","LY","Libya"
"197.234.252.0","197.234.255.255","3320511488","3320512511","ZA","South Africa"
"197.235.0.0","197.235.255.255","3320512512","3320578047","MZ","Mozambique"
"197.236.0.0","197.236.255.255","3320578048","3320643583","ZA","South Africa"
"197.237.0.0","197.237.255.255","3320643584","3320709119","KE","Kenya"
"197.238.0.0","197.238.255.255","3320709120","3320774655","ZA","South Africa"
"197.239.0.0","197.239.63.255","3320774656","3320791039","UG","Uganda"
"197.239.64.0","197.239.127.255","3320791040","3320807423","BF","Burkina Faso"
"197.239.128.0","197.239.191.255","3320807424","3320823807","ZA","South Africa"
"197.239.192.0","197.239.207.255","3320823808","3320827903","KE","Kenya"
"197.239.208.0","197.239.223.255","3320827904","3320831999","MU","Mauritius"
"197.239.224.0","197.239.231.255","3320832000","3320834047","KE","Kenya"
"197.239.232.0","197.239.255.255","3320834048","3320840191","MU","Mauritius"
"197.240.0.0","197.240.255.255","3320840192","3320905727","NG","Nigeria"
"197.241.0.0","197.241.127.255","3320905728","3320938495","DJ","Djibouti"
"197.241.128.0","197.241.255.255","3320938496","3320971263","AO","Angola"
"197.242.0.0","197.242.31.255","3320971264","3320979455","GA","Gabon"
"197.242.32.0","197.242.39.255","3320979456","3320981503","ZA","South Africa"
"197.242.40.0","197.242.40.255","3320981504","3320981759","KE","Kenya"
"197.242.41.0","197.242.55.255","3320981760","3320985599","ZA","South Africa"
"197.242.56.0","197.242.56.7","3320985600","3320985607","KE","Kenya"
"197.242.56.8","197.242.95.255","3320985608","3320995839","ZA","South Africa"
"197.242.96.0","197.242.127.255","3320995840","3321004031","NG","Nigeria"
"197.242.128.0","197.242.143.255","3321004032","3321008127","GM","Gambia"
"197.242.144.0","197.242.159.255","3321008128","3321012223","ZA","South Africa"
"197.242.160.0","197.242.175.255","3321012224","3321016319","MZ","Mozambique"
"197.242.176.0","197.242.183.255","3321016320","3321018367","CF","Central African Republic"
"197.242.184.0","197.242.191.255","3321018368","3321020415","MU","Mauritius"
"197.242.192.0","197.242.199.255","3321020416","3321022463","TZ","Tanzania, United Republic of"
"197.242.200.0","197.242.207.255","3321022464","3321024511","ZA","South Africa"
"197.242.208.0","197.242.223.255","3321024512","3321028607","KE","Kenya"
"197.242.224.0","197.242.239.255","3321028608","3321032703","CI","Cote D'Ivoire"
"197.242.240.0","197.242.255.255","3321032704","3321036799","NG","Nigeria"
"197.243.0.0","197.243.127.255","3321036800","3321069567","RW","Rwanda"
"197.243.128.0","197.243.255.255","3321069568","3321102335","NA","Namibia"
"197.244.0.0","197.244.255.255","3321102336","3321167871","NG","Nigeria"
"197.245.0.0","197.245.255.255","3321167872","3321233407","ZA","South Africa"
"197.246.0.0","197.246.255.255","3321233408","3321298943","EG","Egypt"
"197.247.0.0","197.247.255.255","3321298944","3321364479","MA","Morocco"
"197.248.0.0","197.248.255.255","3321364480","3321430015","KE","Kenya"
"197.249.0.0","197.249.255.255","3321430016","3321495551","MZ","Mozambique"
"197.250.0.0","197.250.255.255","3321495552","3321561087","TZ","Tanzania, United Republic of"
"197.251.0.0","197.251.127.255","3321561088","3321593855","SD","Sudan"
"197.251.128.0","197.251.255.255","3321593856","3321626623","GH","Ghana"
"197.252.0.0","197.252.255.255","3321626624","3321692159","SD","Sudan"
"197.253.0.0","197.253.63.255","3321692160","3321708543","NG","Nigeria"
"197.253.64.0","197.253.127.255","3321708544","3321724927","GH","Ghana"
"197.253.128.0","197.253.255.255","3321724928","3321757695","MA","Morocco"
"197.254.0.0","197.254.127.255","3321757696","3321790463","KE","Kenya"
"197.254.128.0","197.254.191.255","3321790464","3321806847","LS","Lesotho"
"197.254.192.0","197.254.255.255","3321806848","3321823231","SD","Sudan"
"197.255.0.0","197.255.63.255","3321823232","3321839615","NG","Nigeria"
"197.255.64.0","197.255.127.255","3321839616","3321855999","GH","Ghana"
"197.255.128.0","197.255.143.255","3321856000","3321860095","CV","Cape Verde"
"197.255.144.0","197.255.159.255","3321860096","3321864191","ZA","South Africa"
"197.255.160.0","197.255.175.255","3321864192","3321868287","NG","Nigeria"
"197.255.176.0","197.255.191.255","3321868288","3321872383","CG","Congo"
"197.255.192.0","197.255.207.255","3321872384","3321876479","GM","Gambia"
"197.255.208.0","197.255.223.255","3321876480","3321880575","NG","Nigeria"
"197.255.224.0","197.255.239.255","3321880576","3321884671","KM","Comoros"
"197.255.240.0","197.255.243.255","3321884672","3321885695","ZA","South Africa"
"197.255.244.0","197.255.247.255","3321885696","3321886719","NG","Nigeria"
"197.255.248.0","197.255.251.255","3321886720","3321887743","GA","Gabon"
"197.255.252.0","197.255.255.255","3321887744","3321888767","NG","Nigeria"
