"114.0.0.0","114.15.255.255","1912602624","1913651199","ID","Indonesia"
"114.16.0.0","114.22.255.255","1913651200","1914109951","JP","Japan"
"114.23.0.0","114.23.255.255","1914109952","1914175487","NZ","New Zealand"
"114.24.0.0","114.27.255.255","1914175488","1914437631","TW","Taiwan"
"114.28.0.0","114.28.255.255","1914437632","1914503167","CN","China"
"114.29.0.0","114.29.191.255","1914503168","1914552319","KR","Korea, Republic of"
"114.29.192.0","114.29.223.255","1914552320","1914560511","SG","Singapore"
"114.29.224.0","114.29.239.255","1914560512","1914564607","IN","India"
"114.29.240.0","114.29.247.255","1914564608","1914566655","TW","Taiwan"
"114.29.248.0","114.29.251.255","1914566656","1914567679","IN","India"
"114.29.252.0","114.29.255.255","1914567680","1914568703","MY","Malaysia"
"114.30.0.0","114.30.31.255","1914568704","1914576895","KR","Korea, Republic of"
"114.30.32.0","114.30.47.255","1914576896","1914580991","TW","Taiwan"
"114.30.48.0","114.30.63.255","1914580992","1914585087","KR","Korea, Republic of"
"114.30.64.0","114.30.71.255","1914585088","1914587135","AU","Australia"
"114.30.72.0","114.30.79.255","1914587136","1914589183","IN","India"
"114.30.80.0","114.30.95.255","1914589184","1914593279","ID","Indonesia"
"114.30.96.0","114.30.127.255","1914593280","1914601471","AU","Australia"
"114.30.128.0","114.30.255.255","1914601472","1914634239","KR","Korea, Republic of"
"114.31.0.0","114.31.31.255","1914634240","1914642431","BD","Bangladesh"
"114.31.32.0","114.31.63.255","1914642432","1914650623","KR","Korea, Republic of"
"114.31.64.0","114.31.71.255","1914650624","1914652671","CN","China"
"114.31.72.0","114.31.79.255","1914652672","1914654719","AU","Australia"
"114.31.80.0","114.31.95.255","1914654720","1914658815","JP","Japan"
"114.31.96.0","114.31.103.255","1914658816","1914660863","AU","Australia"
"114.31.104.0","114.31.111.255","1914660864","1914662911","JP","Japan"
"114.31.112.0","114.31.127.255","1914662912","1914667007","KR","Korea, Republic of"
"114.31.128.0","114.31.191.255","1914667008","1914683391","IN","India"
"114.31.192.0","114.31.207.255","1914683392","1914687487","AU","Australia"
"114.31.208.0","114.31.211.255","1914687488","1914688511","US","United States"
"114.31.212.0","114.31.215.255","1914688512","1914689535","NZ","New Zealand"
"114.31.216.0","114.31.223.255","1914689536","1914691583","JP","Japan"
"114.31.224.0","114.31.239.255","1914691584","1914695679","IN","India"
"114.31.240.0","114.31.247.255","1914695680","1914697727","ID","Indonesia"
"114.31.248.0","114.31.255.255","1914697728","1914699775","IN","India"
"114.32.0.0","114.47.255.255","1914699776","1915748351","TW","Taiwan"
"114.48.0.0","114.51.255.255","1915748352","1916010495","JP","Japan"
"114.52.0.0","114.53.255.255","1916010496","1916141567","KR","Korea, Republic of"
