"171.0.0.0","171.1.255.255","2868903936","2869035007","SG","Singapore"
"171.2.0.0","171.3.255.255","2869035008","2869166079","JP","Japan"
"171.4.0.0","171.7.255.255","2869166080","2869428223","TH","Thailand"
"171.8.0.0","171.15.255.255","2869428224","2869952511","CN","China"
"171.16.0.0","171.16.255.255","2869952512","2870018047","FR","France"
"171.17.0.0","171.17.255.255","2870018048","2870083583","DE","Germany"
"171.18.0.0","171.18.1.255","2870083584","2870084095","FR","France"
"171.18.2.0","171.18.2.63","2870084096","2870084159","ES","Spain"
"171.18.2.64","171.18.23.255","2870084160","2870089727","FR","France"
"171.18.24.0","171.18.31.255","2870089728","2870091775","DE","Germany"
"171.18.32.0","171.18.255.255","2870091776","2870149119","FR","France"
"171.19.0.0","171.19.255.255","2870149120","2870214655","HU","Hungary"
"171.20.0.0","171.20.52.255","2870214656","2870228223","DK","Denmark"
"171.20.53.0","171.20.55.255","2870228224","2870228991","US","United States"
"171.20.56.0","171.20.255.255","2870228992","2870280191","DK","Denmark"
"171.21.0.0","171.21.255.255","2870280192","2870345727","NL","Netherlands"
"171.22.0.0","171.22.255.255","2870345728","2870411263","GB","United Kingdom"
"171.23.0.0","171.23.255.255","2870411264","2870476799","NO","Norway"
"171.24.0.0","171.24.255.255","2870476800","2870542335","DE","Germany"
"171.25.0.0","171.25.127.255","2870542336","2870575103","CH","Switzerland"
"171.25.128.0","171.25.159.255","2870575104","2870583295","SE","Sweden"
"171.25.160.0","171.25.163.255","2870583296","2870584319","NO","Norway"
"171.25.164.0","171.25.167.255","2870584320","2870585343","RU","Russian Federation"
"171.25.168.0","171.25.171.255","2870585344","2870586367","UA","Ukraine"
"171.25.172.0","171.25.175.255","2870586368","2870587391","RU","Russian Federation"
"171.25.176.0","171.25.176.255","2870587392","2870587647","CZ","Czech Republic"
"171.25.177.0","171.25.177.255","2870587648","2870587903","RU","Russian Federation"
"171.25.178.0","171.25.178.255","2870587904","2870588159","DE","Germany"
"171.25.179.0","171.25.179.255","2870588160","2870588415","NL","Netherlands"
"171.25.180.0","171.25.181.255","2870588416","2870588927","HU","Hungary"
"171.25.182.0","171.25.183.255","2870588928","2870589439","PL","Poland"
"171.25.184.0","171.25.190.255","2870589440","2870591231","RU","Russian Federation"
"171.25.191.0","171.25.191.255","2870591232","2870591487","IT","Italy"
"171.25.192.0","171.25.192.255","2870591488","2870591743","PL","Poland"
"171.25.193.0","171.25.193.255","2870591744","2870591999","SE","Sweden"
