"5.22.128.0","5.22.135.255","85360640","85362687","IL","Israel"
"5.22.136.0","5.22.143.255","85362688","85364735","GB","United Kingdom"
"5.22.144.0","5.22.151.255","85364736","85366783","DE","Germany"
"5.22.152.0","5.22.152.255","85366784","85367039","CZ","Czech Republic"
"5.22.153.0","5.22.153.255","85367040","85367295","RU","Russian Federation"
"5.22.154.0","5.22.154.255","85367296","85367551","SK","Slovakia"
"5.22.155.0","5.22.155.255","85367552","85367807","RU","Russian Federation"
"5.22.156.0","5.22.159.255","85367808","85368831","UA","Ukraine"
"5.22.160.0","5.22.191.255","85368832","85377023","RS","Serbia"
"5.22.192.0","5.22.223.255","85377024","85385215","IR","Iran, Islamic Republic of"
"5.22.224.0","5.22.231.255","85385216","85387263","GB","United Kingdom"
"5.22.232.0","5.22.239.255","85387264","85389311","SE","Sweden"
"5.22.240.0","5.22.247.255","85389312","85391359","DE","Germany"
"5.22.248.0","5.22.255.255","85391360","85393407","NL","Netherlands"
"5.23.0.0","5.23.3.255","85393408","85394431","EU","Europe"
"5.23.4.0","5.23.4.7","85394432","85394439","IT","Italy"
"5.23.4.8","5.23.5.255","85394440","85394943","EU","Europe"
"5.23.6.0","5.23.6.255","85394944","85395199","HU","Hungary"
"5.23.7.0","5.23.7.255","85395200","85395455","EU","Europe"
"5.23.8.0","5.23.8.255","85395456","85395711","TR","Turkey"
"5.23.9.0","5.23.9.255","85395712","85395967","EU","Europe"
"5.23.10.0","5.23.10.255","85395968","85396223","LU","Luxembourg"
"5.23.11.0","5.23.11.255","85396224","85396479","EU","Europe"
"5.23.12.0","5.23.15.255","85396480","85397503","ES","Spain"
"5.23.16.0","5.23.19.255","85397504","85398527","EU","Europe"
"5.23.20.0","5.23.20.255","85398528","85398783","SA","Saudi Arabia"
"5.23.21.0","5.23.23.255","85398784","85399551","EU","Europe"
"5.23.24.0","5.23.25.255","85399552","85400063","FR","France"
"5.23.26.0","5.23.27.255","85400064","85400575","EU","Europe"
"5.23.28.0","5.23.28.7","85400576","85400583","ES","Spain"
"5.23.28.8","5.23.31.255","85400584","85401599","EU","Europe"
"5.23.32.0","5.23.39.255","85401600","85403647","IT","Italy"
"5.23.40.0","5.23.47.255","85403648","85405695","FR","France"
"5.23.48.0","5.23.55.255","85405696","85407743","RU","Russian Federation"
"5.23.56.0","5.23.63.255","85407744","85409791","FI","Finland"
"5.23.64.0","5.23.95.255","85409792","85417983","IS","Iceland"
"5.23.96.0","5.23.111.255","85417984","85422079","RU","Russian Federation"
"5.23.112.0","5.23.119.255","85422080","85424127","IR","Iran, Islamic Republic of"
"5.23.120.0","5.23.127.255","85424128","85426175","TR","Turkey"
"5.23.128.0","5.23.255.255","85426176","85458943","BE","Belgium"
"5.24.0.0","5.27.255.255","85458944","85721087","TR","Turkey"
"5.28.0.0","5.28.7.255","85721088","85723135","HU","Hungary"
"5.28.8.0","5.28.15.255","85723136","85725183","IT","Italy"
"5.28.16.0","5.28.31.255","85725184","85729279","RU","Russian Federation"
"5.28.32.0","5.28.39.255","85729280","85731327","IR","Iran, Islamic Republic of"
"5.28.40.0","5.28.47.255","85731328","85733375","DE","Germany"
"5.28.48.0","5.28.63.255","85733376","85737471","GB","United Kingdom"
"5.28.64.0","5.28.127.255","85737472","85753855","DE","Germany"
"5.28.128.0","5.28.191.255","85753856","85770239","IL","Israel"
"5.28.192.0","5.28.223.255","85770240","85778431","ES","Spain"
"5.28.224.0","5.28.255.255","85778432","85786623","DE","Germany"
